Protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	mean_control_log2_LFQ intensity IgG_ChIP_01	mean_control_log2_LFQ intensity IgG_ChIP_02	mean_control_log2_LFQ intensity IgG_ChIP_03	mean_control_log2_LFQ intensity IgG_ChIP_04	mean_treatment_log2_LFQ intensity TRF2_ChIP_01	mean_treatment_log2_LFQ intensity TRF2_ChIP_02	mean_treatment_log2_LFQ intensity TRF2_ChIP_03	mean_treatment_log2_LFQ intensity TRF2_ChIP_04	mean_log2_fold_change	std_log2_fold_change	mean_-log10_pval	std_-1og10_pval
Q9Y490;Q9Y4G6;H0YMT1;A0A1B0GVU7	TLN1	Talin-1	4	24	24	24	13.3	13.3	13.3	269.76	2541	24.922795610656021	25.448340176211062	24.896013411390779	25.136609124398561	24.519473569639899	24.63798860862612	24.736654616019621	24.60002812623955	-0.47740335053280702	0	1.905210599046685	0
H0Y2Y8;Q15942;Q15942-2;H7C3D3;C9JJK5;C9IZ41	ZYX	Zyxin	6	6	6	6	18.5	18.5	18.5	57.643000000000001	540	23.484683277439402	23.44202419098594	23.686990304058419	22.935422626052791	22.80870078085864	22.70398212407266	22.821937434144061	23.27426552930611	-0.48505863253877379	8.5037664090408249E-2	1.182004167689918	0.2158320172692724
Q02880;Q02880-2;E9PCY5	TOP2B	DNA topoisomerase 2-beta;DNA topoisomerase 2	3	15	9	9	11.1	6.8	6.8	183.26	1626	24.217784386703268	24.169743987901551	24.615040462179401	24.151511483278298	24.008640622697939	23.677343718809979	23.741085912532402	23.78406686811406	-0.48573579947703388	0	1.9963889514649029	0
P23396;P23396-2;E9PL09;E9PPU1;H0YEU2;F2Z2S8;H0YCJ7;H0YF32;E9PQ96;E9PJH4;E9PK82;E9PSF4;E9PQX2;H0YES8	RPS3	40S ribosomal protein S3	14	14	14	14	67.099999999999994	67.099999999999994	67.099999999999994	26.687999999999999	243	27.281093083805349	27.436030065858759	27.71554898300797	27.486694494706331	27.109685615030571	26.76635561866151	26.967192479054901	27.114757303664671	-0.49034390274168871	0	2.1635272286932601	0
P35052;H7C410;H7C024;P35052-2;H7BZE9;C9J4Y6;H7BZL4	GPC1	Glypican-1;Secreted glypican-1	7	7	7	7	15.8	15.8	15.8	61.68	558	24.413577832281241	24.526415658977179	24.550159631803488	25.00333123862427	24.532373524313648	23.043123629456449	24.447646769803121	24.500634275745121	-0.49242654059196289	6.253571553985364E-2	0.60527842062065351	1.8609424928445039E-2
P14866;M0QXS5;A0A3B3ITJ4;P14866-2;M0QYT0;M0R1W6;B4DVF8;M0QYL7;M0R076	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	9	24	24	23	67.2	67.2	66	64.132000000000005	589	27.74361748691997	27.775489620613211	27.52991888546266	27.356322736328721	27.086589147682751	26.651847034557498	27.323542452384469	27.35304436017104	-0.49758143363220242	0	1.40625020251769	2.719479911021036E-16
A0A087WWU8;P06753-5;P06753-2;P06753-4;P06753-3;P06753-6;D6R904;J3KN67;A0A494C0P6;A0A2R2Y2Q3;P06753;P06753-7;Q5VU61;A0A494C0G0	TPM3	Tropomyosin alpha-3 chain	14	10	10	8	34.4	34.4	29.5	26.42	227	24.767189524543731	25.384954449690621	25.22453432404183	24.10077204284903	22.884880239684179	26.028062361838511	24.275544829391709	24.279871818278011	-0.50227277298320294	5.1516078911211842E-2	0.29759039902891532	1.889640961576548E-2
Q08211;Q08211-2	DHX9	ATP-dependent RNA helicase A	2	49	49	49	45.1	45.1	45.1	140.96	1270	28.308822488384809	28.01876618490213	28.19225292570383	28.209088455965531	27.847089470076131	27.28347953042725	27.67370955482232	27.86655677110765	-0.51452368213073285	0	1.879103354961529	2.719479911021036E-16
A0A7I2V2R3;A0A7I2V5D8;P51991;A0A7I2V402;A0A7I2V4J6;A0A7I2V4G0;H7C1J8	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	7	15	15	3	46.2	46.2	9.4	35.411000000000001	331	27.372686813856941	27.312072925437761	27.665736230474931	27.838098446080739	26.683648100272769	26.98174372973509	27.462169983841012	26.956043397276279	-0.52624730118130714	0	1.3801137169613149	0
Q14204;A0A7P0T9C4;A0A7P0TA13;A0A2R8Y5T0;A0A2R8Y706;A0A7P0T9R4;A0A7P0TAW9;A0A7P0T7V5;A0A7P0T916;A0A7P0T8N2;A0A7P0TBJ7;A0A7P0TAF3;A0A7P0TB75;A0A7P0T9K2;A0A2R8Y6H2;A0A7P0T9F1;A0A7P0T8W5;A0A2R8YFZ7;A0A7P0TAM4;A0A7P0T825;A0A7P0TB64;A0A7P0TAV5;A0A7P0T990;A0A7P0T942;A0A2R8YGC7;A0A7P0T9S3;A0A7P0T934;A0A7P0T9Y3;A0A7P0TBC9;A0A7P0TAS7;A0A7P0TB96	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	31	57	57	57	15.5	15.5	15.5	532.4	4646	26.71463227937015	26.530901242226211	26.923090415399869	26.873496494032899	26.188050907489441	26.408274275992351	26.085779099912511	26.212561989031979	-0.53686353965070666	0	2.534260197995549	0
Q58FF8	HSP90AB2P	Putative heat shock protein HSP 90-beta 2	1	7	1	1	16.8	3.9	3.9	44.347999999999999	381	26.3954362059578	26.224037455348849	26.47745973735703	26.77618019069449	25.757786533548771	25.997420879956209	25.725802462661569	26.237557324458251	-0.53863659718334134	0	1.7558577650163849	0
Q15149-4;Q15149-7;Q15149-8;Q15149-9;Q15149-5;Q15149-6;Q15149-2;Q15149;H0YDN1;E9PMV1;E9PKG0;E9PIA2;E9PQ28	PLEC	Plectin	13	199	199	3	49.1	49.1	0.5	516.19000000000005	4547	27.988043718090829	28.03422670068791	27.873907125514972	28.027282053575441	27.38129500257736	27.592847871482761	27.370609857693779	27.423581956197971	-0.53878122747932267	0	3.834322673110055	0
P62244;I3L3P7;I3L246;H3BN98;H3BV27;H3BT37;I3L303;H3BVC7	RPS15A	40S ribosomal protein S15a	8	7	7	7	56.9	56.9	56.9	14.839	130	29.252955552106339	29.100716911294789	29.589280021605969	29.214772703820969	28.961987419286441	28.717674802098362	28.533822032077399	28.786374631798171	-0.53946657589192526	0	2.1112584443973752	0
Q12906-7;Q12906;Q12906-3;Q12906-6;Q12906-2;Q12906-4;Q12906-5;K7EKJ9;K7EQR9;K7ER69;K7EKY0;K7EJ09;K7ENK6;K7EM82;K7ERM6;K7EPG3;K7EQ75	ILF3	Interleukin enhancer-binding factor 3	17	28	28	24	40.299999999999997	40.299999999999997	36.5	95.807000000000002	898	26.55940883436816	26.460921032315419	26.596478011152971	26.503776130334401	25.907221681545401	25.860081022784211	26.066692964492759	26.090672955264651	-0.54897884602097946	0	3.8352449074665049	0
Q92598-2;Q92598-3;Q92598;Q92598-4;A0A0A0MSM0	HSPH1	Heat shock protein 105 kDa	5	6	6	5	9.6	9.6	7.9	92.114999999999995	814	24.418540313694582	23.441391069002329	23.59821155870166	23.6663323742617	23.110044202015619	23.29249464300905	23.082729243634091	23.418282942354871	-0.55523107116166059	0	1.271697032743158	0
P11940;A0A7I2YQ88;H0YAR2;E7ERJ7;A0A087WTT1;A0A7I2V649;E7EQV3;P11940-2;A0A7I2V4N4;A0A7I2YQE4;A0A7I2YQ90;Q9H361;H0YB86;H0YB75;H0YAS6;H0YBN4;H0YAS7;H0YAP2;E5RJB9;E5RH24;E5RGH3;A0A6I8PLA1;H0YC10;A0A6I8PS38;E5RHG7;E5RGC4;H0YAW6;H0Y6X6;A0A7I2V3J9;H0YER0;Q5JQF8;Q96DU9-2;Q96DU9;E5RFD8	PABPC1	Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3	34	22	22	13	37.9	37.9	21.5	70.67	636	26.221992973189469	26.07834596572841	26.48360743070041	26.35258984343065	25.58351000690342	25.526117118874531	25.841557629613341	25.934968418751691	-0.56259575972649145	0	2.2808638229466021	0
B0QYK0;Q01844-6;Q01844-3;Q01844;Q01844-5;H7BY36;A0A0D9SFL3;C9JGE3;Q01844-2;Q01844-4	EWSR1	RNA-binding protein EWS	10	5	5	5	12	12	12	64.929000000000002	618	24.05804590950601	24.435426101901601	24.42943636961758	24.433389834745089	22.871116292519801	23.85861166590097	24.139305276689051	24.231326081163491	-0.563984724874242	7.5578098076267197E-2	0.88296675911159983	8.0711159482441994E-2
A0A087WTP3;M0R0C6;Q92945;M0R0I5;M0QYH3;M0QXW7;M0R3J3	KHSRP	Far upstream element-binding protein 2	7	19	19	18	35	35	33.1	73.027000000000001	711	25.863204355129831	25.794491028557552	26.012609877144701	25.971759641162471	25.055813978615131	25.157036318728771	25.514034250539261	25.64836745731612	-0.56670322419881813	0	2.0381607428879098	0
P62913;Q5VVC8;P62913-2	RPL11	60S ribosomal protein L11	3	8	8	8	41	41	41	20.251999999999999	178	29.28509035856295	28.187258124544801	29.00117944772304	28.762970828331522	29.021548625573459	27.393129869326071	27.816288581884649	28.723577937967189	-0.57048843610274247	0	0.60435827314169588	0
P32969;D6RAN4;A0A2R8Y5Y7;H0Y9V9;H0Y9R4	RPL9	60S ribosomal protein L9	5	10	10	10	65.599999999999994	65.599999999999994	65.599999999999994	21.863	192	28.144381060391169	28.349294526462639	28.358839504497759	27.474213556210451	27.82286623024331	27.347986112574048	27.331166938444291	27.52275427894628	-0.57548877183852554	0	1.2862115807963499	0
Q9Y3I0	RTCB	tRNA-splicing ligase RtcB homolog	1	10	10	10	26.3	26.3	26.3	55.21	505	23.239958570753871	23.847662992262531	24.437649983182769	22.965520095122351	22.762415628876571	23.58692039793673	22.72598513395511	23.112241587938222	-0.57580722315372534	0.14315749575784359	0.69388828115775836	0.15183974425207439
B9A067;Q16891-2;Q16891-4;Q16891;C9J406;Q16891-3;H7C463;A0A087WYS0;D6RAW4	IMMT	MICOS complex subunit MIC60	9	7	7	7	12.7	12.7	12.7	78.972999999999999	711	23.157922956813039	23.005405936659471	23.265421612691249	23.122799564175779	22.821297739947809	22.71190443471448	22.33168800712356	22.308598186555471	-0.59451542549955272	0.1073508936603662	2.0298733260810691	0.86327129030145411
P07737;K7EJ44;CON__P02584;I3L3D5	PFN1	Profilin-1	4	5	5	5	46.4	46.4	46.4	15.054	140	28.017704794351481	28.155473738954139	28.524287211506682	28.68113635647023	28.105495501323979	27.620727927055469	27.451204822167391	27.806365535222842	-0.59870207887821536	0	1.5440088352813519	0
Q07666;Q07666-3;Q07666-2	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	3	6	6	6	24.2	24.2	24.2	48.226999999999997	443	25.750240213490802	25.904146354500732	25.258069964687579	25.1658399477888	24.846276589830069	25.119811225588581	24.886602330498409	24.818508845109761	-0.60177437236026776	0	1.676944732752194	0
P11388;P11388-2;P11388-3;P11388-4;J3KTB7	TOP2A	DNA topoisomerase 2-alpha	5	33	33	27	26.3	26.3	22.1	174.38	1531	26.248745991059941	26.12539943835521	26.079912951362569	26.513251224654489	25.931816511227439	24.85960720018376	25.73722216946469	25.98511438705215	-0.61338733437604631	0	1.15226542250632	0
J3QT28;O43684-2;O43684;J3QSX4	BUB3	Mitotic checkpoint protein BUB3	4	10	10	10	51.1	51.1	51.1	31.702999999999999	278	25.811543835661581	25.600935552979681	26.11961336574587	25.8872533451935	25.482192239477609	24.497835760408609	25.497226668513679	25.409569625162099	-0.63313045150465541	0	1.2687184384563559	0
F5H6E2;O00159-2;O00159-3;O00159	MYO1C	Unconventional myosin-Ic	4	10	10	10	10.8	10.8	10.8	118.99	1039	23.941900852608999	23.720567421430289	23.790643607829111	24.2451046726047	23.43669731093696	23.169820432200989	23.08420630897529	23.452870624933361	-0.63865546935662465	0	2.2828575357899248	0
P49792;J3KQ37;F8VYC4;A0A286YES2;A0A1W2PNU4;P0DJD0;P0DJD1;Q99666;O14715;F8WBP7;F8W705;Q99666-2	RANBP2	E3 SUMO-protein ligase RanBP2	12	14	14	10	6	6	4.7	358.2	3224	23.457762609501099	23.37172347800448	23.22328998978206	23.089388408803039	22.502928820191809	22.358416302818021	23.073916651468849	22.633760652139699	-0.6432855148680735	0.1211793718682101	1.9502310228406849	0.1320389928521766
Q6P2Q9;I3L0J9;I3L3Z8;I3L1T8	PRPF8	Pre-mRNA-processing-splicing factor 8	4	28	28	28	14.3	14.3	14.3	273.60000000000002	2335	24.824688045160091	24.672927686643	24.645429317007778	24.64823029423134	24.076838425974682	23.980240706704539	24.022167981808099	24.098123348881341	-0.65347621991838878	0	4.888058379613903	0
A0A7I2V4Z0;A0A7I2YQN2;O60506-4;O60506-3;O60506-2;O60506;A0A7I2V346;A0A7I2V5Q6;B7Z645;A0A7I2V2F2;A0A7I2V309;O60506-5;A0A7I2YQV8;F6UXX1;A0A7I2V4J0;A0A7I2V2F0	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	16	14	12	12	32.799999999999997	28.6	28.6	61.008000000000003	545	26.154141316270611	25.924880626944049	25.940490144695289	26.333437918129331	25.58178742003475	25.309663970511959	25.41680216546872	25.426624097692191	-0.6545180880829129	0	2.955034043993185	0
Q15393;Q15393-3;Q15393-2;I3L4G7;J3QL37;H3BMB0;J3QRB2;J3QKV4	SF3B3	Splicing factor 3B subunit 3	8	37	37	37	41.3	41.3	41.3	135.58000000000001	1217	25.60322992931977	25.051505691824929	25.601870739402699	25.526505208962671	24.537951572305801	24.217710442158481	25.129669778648989	25.274692088726031	-0.65577192191769385	0	1.2304047136527969	0
P60953;Q5JYX0;A0A590UJK8;P60953-1;A0A3B3IRV0;A0A494C1M1;A0A494BZX6	CDC42	Cell division control protein 42 homolog	7	4	4	4	26.7	26.7	26.7	21.257999999999999	191	25.898990825361022	25.292564852272061	27.161348736057501	25.823036363674881	25.515268159280481	24.70414047927186	25.856428568281181	25.399826037647319	-0.67506938322115673	0	0.7076502382619233	0
P02751;P02751-8;P02751-13;P02751-7;P02751-1;P02751-3;P02751-17;P02751-14;P02751-9;P02751-5;P02751-10;P02751-6;P02751-11;P02751-4;P02751-12;H0Y7Z1;P02751-16;P02751-2	FN1	Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3	18	7	7	7	3.6	3.6	3.6	272.32	2477	23.466501702756581	23.297960730724778	23.614254221723471	23.20447263855181	22.47728312434586	22.6148193672344	22.645374341489401	23.136190399735838	-0.67738051523778375	0.22430001477537539	2.0146590916291389	1.27602669974755
A0A6I8PRN4;Q06210-2;Q06210;A0A6I8PTT9;O94808;E5RJP4	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	6	7	7	7	16.899999999999999	16.899999999999999	16.899999999999999	68.540999999999997	609	23.301453771608191	23.116800823554328	23.195218994628551	22.884647521936682	22.749380973286112	22.697277452630061	22.444590335852411	21.87375254046637	-0.6832799523732026	0.36384133252403378	1.2865325269019621	0.60075633869735512
P63244;J3KPE3;H0YAF8;H0Y8W2;D6RAC2;H0YAM7;D6REE5;D6R9L0;D6R9Z1;D6RHH4;D6RFX4;H0Y8R5;D6RFZ9;D6RBD0;D6RF23;E9PD14;D6RAU2;D6RHJ5;H0Y9P0;D6RGK8;D6R909;D6RDI0	GNB2L1	Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed	22	16	16	16	75.400000000000006	75.400000000000006	75.400000000000006	35.076000000000001	317	27.408193278039271	27.430377894308371	27.80335062605424	27.73647398399946	27.001635831126301	26.935058372146941	26.998088350753921	26.700943618673989	-0.68566740242504665	0	2.8231877374012662	0
P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;P43243-2;B3KM87;H0Y8T4;D6R8Z5;D6RBK5;D6RIA2;D6RE02;D6RBI2;D6REK4;D6RCM3;A0A1B0GX04;D6RBS2;D6RAY2;D6RAM9;D6R9F3;D6RB45	MATR3	Matrin-3	21	26	26	26	43.9	43.9	43.9	94.622000000000014	847	28.504041432650531	28.519233590425149	28.515967407197412	28.59814765335998	27.76116446850169	27.570076887773311	28.0335442402734	27.98901884150807	-0.69589641139415548	0	3.144432543133195	0
P84077;P61204;F5H423;F5H0C7;P61204-2;H0YGG7	ARF1	ADP-ribosylation factor 1;ADP-ribosylation factor 3	6	9	5	4	54.7	26	26	20.696999999999999	181	28.156293822091769	27.267048252214831	27.621496674885311	27.46575470841427	27.554132930480879	26.144157361860451	27.406085733498671	26.61666774133078	-0.69738742260884834	0	0.92405882449216425	0
E9PD53;Q9NTJ3;Q9NTJ3-2;C9JR83;C9J9E4;C9JWF0;C9IYK2;C9JJ64	SMC4	Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 4	8	20	20	20	20.3	20.3	20.3	144.44999999999999	1263	24.465256497223649	24.623102734243371	24.14406009080983	23.922886326224369	23.9067401602736	22.688293001891662	23.816752435644521	23.931298038640961	-0.70305550301261732	0	1.078691096283982	0
P47897;P47897-2;A0A1B0GVU9;B4DDN1;A0A0U1RQT0;C9J165;H7C0R3;A0A0U1RQE9;A0A0U1RQM8;A0A0U1RRI9;A0A0U1RQU2;A0A0U1RQL2;A0A0U1RR66;A0A0U1RQX5;A0A1B0GTT3;A0A0U1RQQ5;F2Z2V6;A0A0U1RRC8;A0A0U1RQX9;A0A0U1RRJ7;A0A0U1RQJ6;A0A0U1RQC3;A0A0U1RR79	QARS	Glutamine--tRNA ligase	23	28	27	27	42.5	41.4	41.4	87.797999999999988	775	24.028757956559289	23.269992984107731	24.133202430493821	24.130848290660801	22.72982650196867	22.83836298205717	23.221285017810469	23.960756391869889	-0.70314269202886237	0	1.047392908480518	0
P14618;P14618-2;P14618-3;B4DNK4;H3BTN5;H3BR70;H3BQ34;H3BUW1;H3BTJ2;H3BT25;H3BU13;H3BN34;H3BQZ3;P30613-2;P30613	PKM	Pyruvate kinase PKM;Pyruvate kinase	15	38	38	38	77.2	77.2	77.2	57.936000000000007	531	28.875021107883001	28.837918052827501	28.819672507903601	28.962897593504831	28.20321834178138	28.347943885911452	27.994046506229569	28.08795507278186	-0.7155863638536708	0	3.881666800400668	5.4389598220420729E-16
A0A087X0X3;P52272-2;P52272;M0R2I7;M0R019;M0R2T0;M0QYQ7;M0R0N3;M0QY96;M0R0Y6;M0QYL3	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	11	41	41	16	63.6	63.6	26.6	77.569000000000003	730	28.06543002291097	28.08009599448464	27.955378356526531	27.955322922623591	27.07367562662672	27.09184340073277	27.436347840098119	27.520283204906441	-0.73351930604542304	0	3.0499540207784941	0
Q00341;A0A024R4E5;Q00341-2;H0Y394;H7C0A4;C9JIZ1;C9JZI8;C9J5E5;C9JHS7;C9JHZ8;C9JES8;H7C2D1;H7BZC3;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9	HDLBP	Vigilin	22	22	22	22	24	24	24	141.44999999999999	1268	25.049969827816231	24.826483317274079	24.63887247757145	24.920843844977149	23.583366536529191	24.420469136622231	24.15096945148241	24.307789483777569	-0.74339371480687078	0	1.95823093987221	0
P08238;Q58FF7;F8W026;Q58FG1	HSP90AB1	Heat shock protein HSP 90-beta	4	34	34	19	50.4	50.4	30.7	83.262999999999991	724	29.39758383345044	29.35241304824202	29.299922241118409	29.315704741771778	28.452462209797599	28.539416680668811	28.66705689921163	28.725789463710889	-0.74522465279843075	0	4.5617088175008584	0
P50454;E9PJH8;E9PR70;E9PPV6;E9PKH2;E9PIG2;E9PRS3;E9PNX1;E9PK86;E9PMI5;E9PLA6;E9PQ34;H0YEP8	SERPINH1	Serpin H1	13	12	12	12	36.4	36.4	36.4	46.44	418	25.77180518408062	25.52007334309199	25.825319071044738	26.015122356414011	24.939660990272891	24.144915851057611	25.407204736672149	25.602975178730649	-0.75939079947451305	0	1.1744477985948241	0
P52907	CAPZA1	F-actin-capping protein subunit alpha-1	1	8	8	6	45.5	45.5	36	32.921999999999997	286	24.2638468523811	25.308518740273719	25.835474509974649	25.68677663476879	22.701327176889659	25.288134982210551	24.783117743037781	25.2701712596768	-0.76296639389586218	0.13146033303285651	0.48720654641771483	1.0934260296326839E-2
P30050;P30050-2	RPL12	60S ribosomal protein L12	2	7	7	7	58.8	58.8	58.8	17.818000000000001	165	27.653761330220082	26.447883195794841	27.118623659292229	27.053102086664211	26.50536721291347	26.006566294460089	26.609499579369469	26.097580970990371	-0.76358905355949247	0	1.4206197061610131	2.719479911021036E-16
A0A7I2V430;A0A7I2V2M5;A0A7I2V4F0;Q92499;A0A087WZ71;A0A087X2G1;A0A7I2YQ77;Q92499-3;Q92499-2;A0A7I2V4J3;A0A7I2V421;A0A7I2V5X8	DDX1	ATP-dependent RNA helicase DDX1	12	17	17	14	35.4	35.4	28.7	77.86	697	25.520702836974809	25.21445312438523	25.324813140934729	25.40256088192708	24.771780001981639	24.250174643827911	24.632507595488789	24.737118994535031	-0.76773718709711503	0	2.879312856785448	0
Q5BKZ1;A0A0A0MRN4;Q5BKZ1-2;Q5BKZ1-3	ZNF326	DBIRD complex subunit ZNF326	4	9	9	9	17.399999999999999	17.399999999999999	17.399999999999999	65.653000000000006	582	24.27802911459543	24.181544773048341	24.013334260699612	24.01000762035169	22.520160429060141	23.630453778689269	23.620420313190049	23.613804749006729	-0.77451912468722028	8.603578683324771E-2	1.527172004784545	0.34568405408803771
A0A0A0MRA5;B7Z4B8;Q9BUJ2-4;Q9BUJ2-2;Q9BUJ2;Q9BUJ2-3;M0R3F1;M0QYZ0;M0R203;M0QZV6;M0R0K8;M0QYM5;M0QYI8;Q9BUJ2-5	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	14	16	16	16	24.4	24.4	24.4	85.938999999999993	766	26.143495789349529	26.06418653726438	26.041096291122528	25.9909671132976	25.320722336743511	24.912736236429861	25.35423888794352	25.542681918085169	-0.77734158795799502	0	2.899761277571915	0
P04406;P04406-2;E7EUT5;O14556	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	4	13	13	13	67.2	67.2	67.2	36.052999999999997	335	27.992534643328941	28.121195485209039	28.374470607823199	28.52114481733199	27.40851724257011	27.817386941314091	27.21835732845739	27.408355269398179	-0.78918219298835268	0	2.4033295465254638	0
P33176;Q12840;A0A7I2V4K6;O60282;A0A6Q8PGJ3;A0A7I2V492;A0A7I2V3N5;A0A0G2JMZ6;A0A6Q8PEZ8;J3KNA1;A0A7I2V581;A0A7I2V3V4;O60282-2;A0A7I2V352;A0A7I2YQQ7;A0A7I2YQB4;A0A6Q8PFV6;A0A6Q8PGN1;A0A6Q8PGT2	KIF5B	Kinesin-1 heavy chain	19	31	31	31	43.3	43.3	43.3	109.68	963	23.856523554293052	22.543449136426929	22.05741801138986	22.76338502152278	22.505375315033039	21.848809353102261	21.247192761316899	22.438449741995441	-0.79523713804624541	0.1670945291006295	0.81247776635361724	0.29447216473490351
Q86UP2-2;Q86UP2-3;Q86UP2-4;Q86UP2;G3V4Y7;H0YJV5;H0YJZ8;G3V5P0;G3V5G2;B7Z6P3	KTN1	Kinectin	10	10	10	10	9.1999999999999993	9.1999999999999993	9.1999999999999993	149.61000000000001	1300	23.61357996012487	23.923974468355819	23.695298818840399	23.425728133037019	23.052567387488619	23.302290844472338	22.89443219316685	22.157799631098371	-0.81287283103298336	0	1.645380724353753	0
Q6NZI2;Q6NZI2-2;Q6NZI2-3	PTRF	Polymerase I and transcript release factor	3	5	5	5	14.4	14.4	14.4	43.476000000000013	390	23.478154398332279	23.357967521974459	23.51544864280369	23.031183588920339	22.793611683622519	22.76490493758951	22.595663753593819	21.966720060328051	-0.81546342922421411	7.8705456404935939E-2	1.516977935196848	0.43899813590358278
P55884;P55884-2;C9JZG1;C9JQN7	EIF3B	Eukaryotic translation initiation factor 3 subunit B	4	26	26	26	43.1	43.1	43.1	92.48	814	25.04660181227041	23.75358483994976	24.794367078230479	24.926646000824022	23.378883269577351	23.97971754882105	23.992048350731771	23.900120172688119	-0.81760759736409838	0	1.3158982471083509	0
B0QY89;Q9Y262;Q9Y262-2;B0QY90;C9JHP4;C9K0Q7;H7C3A0	EIF3L	Eukaryotic translation initiation factor 3 subunit L	7	8	8	8	14.2	14.2	14.2	70.90100000000001	607	23.9337309904748	23.639535024100152	24.212450668538541	23.085454953409801	22.96384001517281	23.398978486477059	22.626894313405749	22.58237907341141	-0.82476993701406087	8.0146675660692626E-2	1.4141516409427071	0.20314073923858661
P21796;C9JI87	VDAC1	Voltage-dependent anion-selective channel protein 1	2	6	6	6	31.1	31.1	31.1	30.771999999999998	283	24.278100031352189	23.81802116804705	24.454001017658062	23.83903612756421	22.771968475704892	23.8196785979097	22.910112015016711	23.567787148199528	-0.82990302694766882	0.10992166928360959	1.448611499783556	7.3366603081161205E-2
Q16658;C9JFC0;A0A0A0MSB2;C9JPH9	FSCN1	Fascin	4	18	18	18	45	45	45	54.529000000000003	493	27.424943707260741	27.502562698067401	27.70087749308485	27.350938911852321	26.663159140918619	26.639893776467339	26.43622073880157	26.9169551460962	-0.83077350199539524	0	3.270038573414479	0
P68133;P68032;P63267;P62736;A6NL76;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6	ACTA1	Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle	10	12	1	1	30	4.2	4.2	42.051000000000002	377	26.328036352187588	26.261929768434509	26.9647712952614	26.752258129883391	26.102374948453491	27.235440624424559	22.93203188883837	26.675729664894579	-0.84035460478896817	0.1149590873038402	0.37260700490418591	1.1333828814020249E-2
O43390;O43390-3;B4DT28;A0A6Q8PEX7;A0A6Q8PH31;A0A6Q8PH35;A0A6Q8PHG0;A0A286YEZ8	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	8	20	20	1	34.1	34.1	2.7	70.941999999999993	633	28.248438374388499	28.00806353184965	28.315488817945759	28.352328852441531	27.630412117018849	26.984897162773969	27.352539332730331	27.549146229903709	-0.85183118354964904	0	2.702517884925042	0
Q99459	CDC5L	Cell division cycle 5-like protein	1	6	6	6	8.6999999999999993	8.6999999999999993	8.6999999999999993	92.25	802	24.033974752896569	24.146159687790242	23.851575970328739	23.55262407262391	22.538996360599299	22.205225435338029	23.877176272505551	23.532258608567069	-0.85766945165737718	8.4079580022085043E-2	1.109836661385623	0.52292371472350174
Q9UHD1;Q9UHD1-2;E9PPQ5;E9PIZ4;E9PSD5;E9PL00;E9PHZ2;E9PIF7	CHORDC1	Cysteine and histidine-rich domain-containing protein 1	8	9	9	9	38.6	38.6	38.6	37.488999999999997	332	24.398782827015051	24.563836784823689	24.777961590176531	24.42245954821847	22.93276059961746	23.731795485916649	24.284327094364809	23.749907880687029	-0.86606242241194897	6.2656938018011338E-2	1.613901418068072	0.1810828339734965
Q9BSJ8-2;Q9BSJ8;F8VZB1	ESYT1	Extended synaptotagmin-1	3	7	7	7	7.7	7.7	7.7	124	1114	23.796794565608611	23.85481284851052	23.736035212056951	23.83932452237595	22.81399642100375	23.002816388785622	22.80557857486464	23.107332668249459	-0.87431077391213918	0	4.5021995908372761	0
Q14152-2;Q14152	EIF3A	Eukaryotic translation initiation factor 3 subunit A	2	10	10	10	9.8000000000000007	9.8000000000000007	9.8000000000000007	162.63	1348	24.446448282281391	24.544098002652721	23.894950209883479	24.399760859078061	23.337560929000009	24.120839659571299	23.49044842279962	22.769148569536199	-0.89181494324713029	0	1.5318564511227259	0
A0A0A0MTN0;Q13617;Q13617-2;Q5T2B5;Q5T2B7	CUL2	Cullin-2	5	14	14	14	23.1	23.1	23.1	88.504999999999995	758	24.475868475471611	23.934900950024371	24.284468306623609	24.359040656410471	23.686883473369271	22.83464541365511	23.40483596525381	23.535402588108731	-0.89812773703578586	0	2.1926846248591412	0
